,CASE_NUMBER,HREF,YEAR,DATE,TIME,COUNTRY,AREA,LOCATION,SPECIES,PROVOCATION,ACTIVITY,SEX,AGE,FATAL_YN,BODY_AREA_ATTACKED,TYPE_OF_INJURY
0,2016.09.18.c,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf,2016,18-Sep-16,afternoon,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,surfing,M,12-17,N,lower limbs,NOT AVAILABLE
1,2016.09.18.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf,2016,18-Sep-16,late morning,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,surfing,M,35-44,N,upper limbs,lacerations
2,2016.09.18.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf,2016,18-Sep-16,morning,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,surfing,M,35-44,N,lower limbs,lacerations
3,2016.09.17,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf,2016,17-Sep-16,NOT AVAILABLE,AUSTRALIA,Victoria,Thirteenth Beach,NOT AVAILABLE,Unprovoked,surfing,M,NOT AVAILABLE,N,lower limbs,strike
4,2016.09.15,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-BellsBeach.pdf,2016,16-Sep-16,NOT AVAILABLE,AUSTRALIA,Victoria,Bells Beach,2 m shark,Unprovoked,surfing,M,NOT AVAILABLE,N,no injury,no injury
5,2016.09.15.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf,2016,15-Sep-16,NOT AVAILABLE,AUSTRALIA,Western Australia,Bunbury,NOT AVAILABLE,Boat,fishing,NOT AVAILABLE,NOT AVAILABLE,N,no injury,no injury
6,2016.09.11,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf,2016,11-Sep-16,afternoon,USA,Florida,"Ponte Vedra, St. Johns County",3' to 4' shark,Unprovoked,wading,M,55-64,N,upper limbs,NOT AVAILABLE
7,2016.09.07,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf,2016,07-Sep-16,afternoon,USA,Hawaii,"Makaha, Oahu","Tiger shark, 10?",Unprovoked,swimming,F,45-54,N,upper limbs,lacerations
8,2016.09.06,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf,2016,06-Sep-16,afternoon,NEW CALEDONIA,North Province,Koumac,NOT AVAILABLE,Unprovoked,surfing,M,45-54,Y,NOT AVAILABLE,NOT AVAILABLE
9,2016.09.05.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf,2016,05-Sep-16,late afternoon,USA,South Carolina,"Kingston Plantation, Myrtle Beach, Horry County",NOT AVAILABLE,Unprovoked,body surfing,F,12-17,N,lower limbs,lacerations
10,2016.09.05.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf,2016,05-Sep-16,late afternoon,AUSTRALIA,Western Australia,Injidup,NOT AVAILABLE,Unprovoked,surfing,M,NOT AVAILABLE,N,NOT AVAILABLE,NOT AVAILABLE
11,2016.09.04,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf,2016,04-Sep-16,NOT AVAILABLE,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,body boarding,M,under 12,N,lower limbs,bite
12,2016.09.01,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf,2016,01-Sep-16,NOT AVAILABLE,USA,California,"Refugio State Beach, Santa Barbara County",White shark,Unprovoked,spearfishing,M,18-24,N,lower limbs,lacerations
13,2016.08.29.b,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf,2016,29-Aug-16,afternoon,USA,Florida,"New Smyrna Beach, Volusia County","Bull shark, 6'",Unprovoked,surfing,M,25-34,N,lower limbs,lacerations
14,2016.08.29.a,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf,2016,29-Aug-16,afternoon,USA,Florida,"New Smyrna Beach, Volusia County",NOT AVAILABLE,Unprovoked,surfing,M,35-44,N,lower limbs,NOT AVAILABLE
15,2016.08.27,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf,2016,27-Aug-16,afternoon,REUNION,NOT AVAILABLE,Boucan Canot,"Bull shark, 3.5 m",Unprovoked,surfing,M,18-24,N,lower limbs,bite
16,2016.08.25,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf,2016,25-Aug-16,afternoon,USA,Florida,"Ponte Vedra, St. Johns County",NOT AVAILABLE,Unprovoked,wading,M,45-54,N,lower limbs,NOT AVAILABLE
17,2016.08.07,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf,2016,07-Aug-16,NOT AVAILABLE,BAHAMAS,New Providence Island,Nassau,NOT AVAILABLE,Unprovoked,snorkelling,M,12-17,N,lower limbs,lacerations
18,2016.08.06,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf,2016,06-Aug-16,NOT AVAILABLE,USA,Hawaii,Maui,"Tiger shark, 10'",Unprovoked,sup foil boarding,M,18-24,N,NOT AVAILABLE,NOT AVAILABLE
19,2016.08.04,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf,2016,04-Aug-16,NOT AVAILABLE,USA,Florida,"New Smyrna Beach, Volusia County",Blacktip shark,Unprovoked,surfing,M,18-24,N,lower limbs,bite
20,2016.07.29,http://sharkattackfile.net/spreadsheets/pdf_directory/http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.29-Spain.pdf,2016,29-Jul-16,late morning,SPAIN,Alicante Province,Arenales del Sol,Blue shark,Unprovoked,swimming,M,35-44,N,upper limbs,lacerations
21,2016.07.28.R,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf,2016,28-Jul-16,NOT AVAILABLE,CHINA,Hong Kong,NOT AVAILABLE,NOT AVAILABLE,Unprovoked,swimming,M,65-74,N,lower limbs,lacerations
22,2016.07.28,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf,2016,28-Jul-16,NOT AVAILABLE,AUSTRALIA,Western Australia,Near Albany,White shark,Boat,in row boat,M,NOT AVAILABLE,N,no injury,no injury
